Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
721753,SERV GOMEZ,SGH 970123436,CARR LA ANGOSTURA KM 5 SN,CHIAPA DE CORZO,29160,CHIAPA DE CORZO CHIS,CHIAPAS,16043275,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
729590,GASOL TERAN,GTE 0409287L8,BLVD BELISARIO DGUEZ NO 2917,TERAN,29050,TUXTLA GUTIERREZ CHIS,CHIAPAS,16152898,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
879171,GASOL CRISTAL,CNA9501141TA,LIBR SUR PTE NO 3358,SANTA ELENA,29060,TUXTLA GUTIERREZ CHIS,CHIAPAS,16165732,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
892851,DAMIGAS,DAM641001DLA,8A AV NTE NO 410 I10 E 39 Y 41,5 DE FEBRERO,30710,TAPACHULA CHIS,CHIAPAS,26264912,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
720128,GASOL GONZA,GGO 001108KV8,CALZ A SERRA ROJAS NO 763,CASTILLO TIELEMANS J,29070,TUXTLA GUTIERREZ CHIS,CHIAPAS,16043275,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
720144,SERV MARIO GOMEZ,GOSC491208CG3,CARR PANAMERICANA NO 1099,NANDAMBUA 1A SECCION,29160,CHIAPA DE CORZO CHIS,CHIAPAS,16160299,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
745877,GAS CENTRO ARRIAGA,AEMM600916DG0,CARR COST TAPAN TAP KM 46 SN,LA CALERA,30450,ARRIAGA CHIS,CHIAPAS,66621224,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
764118,COMBUSTIBLES LA FUENTE,RORR450512P62,BLVD BEL DOMINGUEZ NO 1265,CENTRO,29000,TUXTLA GUTIERREZ CHIS,CHIAPAS,16029644,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
801209,GASOLINAS Y LUB JOSE J,GLJ 060123UT8,18 SUR NO 1920 PTE,SAN FRANCISCO,29066,TUXTLA GUTIERREZ CHIS,CHIAPAS,16636004,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
807115,SERV LAS GASTELENAS,SGA 030710MP4,EJE VIAL 1 60,MORELOS,29215,SN CRISTOBAL D LS CASAS CHIS,CHIAPAS,71107222,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1010269,GAS DIS COMB L CANADAS,DCC 050516VD1,CARR CHILON YAJALON KM 1,12 DE DICIEMBRE,29930,YAJALON CHIS,CHIAPAS,96862969,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
892893,VENDOGAS,VEN 930917QT2,3A SUR PTE NO 1220,CENTRO,29000,TUXTLA GUTIERREZ CHIS,CHIAPAS,6114344,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1010246,GAS HID EXPRESS OCOZOC,HEO090624VD8,PROL DE LA AV CTRAL NTE SN,EL PARAISO,30140,FRONTERA COMALAPA CHIS,CHIAPAS,31037710,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1012078,DES INTEGRAL OCO FRCOM,DIO 070629V44,CARR P COM CD CUA KM251 100 SN,PASO HONDO,30153,FRONTERA COMALAPA CHIS,CHIAPAS,31189694,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1012288,ENER Y SERVS OCOZOC VM,ESO 100211V84,CARR HUIXTLA TAPACHULA KM 281,MAZATAN,30650,MAZATAN CHIS,CHIAPAS,26882873,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1010266,MULTISERVICIOS OCOZOCO,MEO 090624A74,KM1 0 CARRMOTOZINTLA FRON COMA,LINDAVISTA,30900,MOTOZINTLA CHIS,CHIAPAS,26411391,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
899351,SERV MOLINA,MOTC6802228C0,AV CENTRAL NO 820,JUAREZ BENITO,30360,LA CONCORDIA CHIS,CHIAPAS,16364857,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1011877,PROM DE SERV OCOZ BERR,PSO 040803JC5,CARR OCOZOCOAUTLA KM132 M700,CANDELARIA,29130,BERRIOZABAL CHIS,CHIAPAS,16030116,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1012945,DIS DE COMB CANADAS,DCC 050516VD1,LT 6 MZ 239 AV OAXACA,ABASOLO,29955,BENEMERITO LAS AMERICAS CHIS,CHIAPAS,86882873,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1018151,GASOL EL ARCOTETE,CAR 120703944,CALZ DE LA QUINTA NO 227,LA GARITA,29230,SN CRISTOBAL D LS CASAS CHIS,CHIAPAS,6314768,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1030033,CORP D COMB DEL STE,CCS 130227A65,CARR TUXT BERRIOZABAL KM132 90,CANDELARIA,29130,BERRIOZABAL CHIS,CHIAPAS,16882873,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1017708,GAS ESTACION 35,AEMM600916DG0,BLVD FCO SARABIA Y CJON DEG SN,ARRIAGA,30450,ARRIAGA CHIS,CHIAPAS,66622597,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1027209,GASOLINERA ABASTECEDOR,ACS 1207305R1,C JARITAS SN,26 DE JULIO,30840,SUCHIATE CHIS,CHIAPAS,26983223,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1037731,GAS OPERADORA CINCO HN,OCH001023V88,CARR TAPANATEPEC TA KM 122 300,2 DE NOVIEMBRE,30540,PIJIJIAPAN CHIS,CHIAPAS,86668300,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1039810,GASOLINERA SAN ANTONIO,OANJ9210281K1,CRT TUXTLA ANGOSTURA NO 3620,21 DE OCTUBRE,29160,CHIAPA DE CORZO CHIS,CHIAPAS,12010657,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1046817,COMERC D COMB DEL STE,CCS 140120KN0,BLVD DR R FIGUEROA NO 1796,URBANA,30400,CINTALAPA CHIS,CHIAPAS,86882873,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1072409,EST SERV MARIN,ESM 140627D6A,CARR VILLAHERMOSA E KM 114,CATAZAJA,29980,CATAZAJA CHIS,CHIAPAS,61154199,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1060172,ESTACION DIAMANTE,ESD 141007437,CALZ MANUEL VELASCO SUARE MZ 1,PROCASA,30797,TAPACHULA CHIS,CHIAPAS,26261515,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1098169,GAS PLAN DE AYALA,GLI 040226ET1,C LIBRAMIENTO NTE PTE NO 1220,PLAN DE AYALA,29020,TUXTLA GUTIERREZ CHIS,CHIAPAS,11403068,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1083235,GASOLINERA SAN LUCAS,OSS 150305UP6,CARR A TAPALAPA KM 8 6 SN,PANTEPEC,29660,PANTEPEC CHIS,CHIAPAS,11798684,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1048776,GASOL SERV TAPACHULA,EST 140919152,AV SUR SN 9NA,16 DE SEPTIEMBRE,30705,TAPACHULA CHIS,CHIAPAS,6263366,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1058698,GAS MULTISE DE COMUSTI,MCS140120NT0,7A AV SUR P VIAL ESQ 38 C OTE,TAPACHULA CENTRO,30700,TAPACHULA CHIS,CHIAPAS,21379604,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1118261,GAS YAXCHILAN,MYA090828188,CARR PALENQUE PAKAL NA SN,GUAYACAN LA LOMITA,29960,PALENQUE CHIS,CHIAPAS,61003925,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1158260,ESGES PALENQUE,ESG 000418CS4,CARR PALENQ CATAZ NO 0,PALENQUE,29960,PALENQUE CHIS,CHIAPAS,3452123,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1138444,GASOLINERA PUJILTIC,SFP0511213CA,KM 108 CARR CZA PUJI SN,SAN FRANCISCO PUJILTIC,30210,VENUSTIANO CARRANZA CHIS,CHIAPAS,26752014,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1118291,GAS COPOYA,OSC1406197P8,C 4A OTE SUR 1176,SAN FRANCISCO,29066,TUXTLA GUTIERREZ CHIS,CHIAPAS,12363828,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1118292,GAS TUCHTLAN,OST120830EH9,BLVD LIBRAMIENT SUR OTE NO 480,COQUELEQUIXTLAN,29090,TUXTLA GUTIERREZ CHIS,CHIAPAS,12363828,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1179957,GAS COM BP,GCO 710315S76,BLVD BELISARIO DOMINGUEZ 2180,RESIDENCIAL CAMPESTRE,29030,TUXTLA GUTIERREZ CHIS,CHIAPAS,11214093,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1119165,LUBRI Y N AV CENTRAL,LEC 181030K63,BLVD BELISARIO DOMINGUEZ 2426,TUXTLA GUTIERREZ CENTRO,29000,TUXTLA GUTIERREZ CHIS,CHIAPAS,11214450,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1243535,ESTA JOSE A SAAVEDRA V,SAVA610701QZ0,COMALAPA CD CUAUHTEMOC KM1 117,EL MIRADOR,30140,FRONTERA COMALAPA CHIS,CHIAPAS,76790935,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1442581,GASOL PUERTO ARISTA,GPA 070828GXA,CARR TAPANATEPEC T R PTO A KM,PUERTO ARISTA,30507,TONALA CHIS,CHIAPAS,66631388,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1459437,GASOL YAJALON,CYA 010820FL2,LIBRAMIENTO NORTE OTE KM 2.8,BELISARIO DOMINGUEZ,29930,YAJALON CHIS,CHIAPAS,6740888,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1524362,GASOL LUB MARINOS,LCM 991105595,PQUE IND FRANCISCO I M MZF L25,2 DE JULIO,30830,TAPACHULA CHIS,CHIAPAS,6251591,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1600071,GAS YAXCHILAN,MYA 090828188,CARR PALENQUE PAKAL NA SN,GUAYACAN LA LOMITA,29960,PALENQUE CHIS,CHIAPAS,63451447,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2084945,SERV SOLORZANO,SSL 980921TW0,CARR OCO ALTAMIRANO KM 1 SC SN,OCOSINGO,29950,OCOSINGO CHIS,CHIAPAS,96731434,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2308328,GASOL PIJIJIAPAN,GPI 9702215E8,CARR COSTERA KM 144,20 DE NOVIEMBRE,30540,PIJIJIAPAN CHIS,CHIAPAS,86450169,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1457423,GASOL CHANONA,GLC 000915431,LIBRAMIENTO PTE SN,OCOZOCOAUTLA DE ESPINOSA,29140,OCOZOCOAUTLA DE ESPINOSA CHIS,CHIAPAS,86880197,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1457456,GAS GPO EMP OCOZOCOAUT,GEO020909H92,CARR TAPANATEPEC TUXT KM 129,SAN ANTONIO BOMBANO,29130,BERRIOZABAL CHIS,CHIAPAS,81058365,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1457464,GASOL MALPASO,GLM 041206SP4,CARR TECPATAN RAUD MALPASO KM4,CIUDAD PERDIDA,29600,TECPATAN CHIS,CHIAPAS,81058365,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1457480,GASOL NVA OCOZOCOAUTLA,ICO 040603FI3,2A SUR PTE NO 949,5 DE MAYO,29140,OCOZOCOAUTLA DE ESPINOSA CHIS,CHIAPAS,86888287,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1803980,GASOL Y SERV MARFIL,GSM 731122PK4,CARR COSTERA KM 244,INSURGENTES,30750,TAPACHULA CHIS,CHIAPAS,6262201,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2007995,GASOL PUJILTIC,SFP 0511213CA,AV DEL INGENIO SN,SAN FRANCISCO PUJILTIC,30310,VENUSTIANO CARRANZA CHIS,CHIAPAS,6750214,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2422210,PRAXAIR TAPACHULA,PME960701GG0,13A SUR NO 25,16 DE SEPTIEMBRE,30705,TAPACHULA CHIS,CHIAPAS,26427234,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
3234465,GASOLINERA TREBOL PACI,GGT 090814SY5,AV 4A SUR SN,SAN JOSE,30540,PIJIJIAPAN CHIS,CHIAPAS,86450328,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2144822,GASOL LOS LAGUITOS,ALA 010406PD8,PLAYAS DE CATAZAJA 4056 A,LOS LAGUITOS,29020,TUXTLA GUTIERREZ CHIS,CHIAPAS,16122108,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3558970,SERV EXPRESS RUBEN,SER000303GCA,PROL AV IGNACIO ALLENDE NO 777,DURAZNAL,29820,SIMOJOVEL CHIS,CHIAPAS,96850404,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2230670,PRAXAIR TUXTLA,PME 960701GG0,CARR TUXTLA CHICOASEN NO 300,PLAN DE AYALA,29020,TUXTLA GUTIERREZ CHIS,CHIAPAS,99842494,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
2367282,GASOL BOULEVARD,ACB 0404135S1,LIBRAMIENTO SUR PTE NO 3459,MATUMATZA,29059,TUXTLA GUTIERREZ CHIS,CHIAPAS,16122108,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2144830,GASOL LIBRAMIENTO SUR,GLS 9711055N5,LIBRAMIENTO SUR OTE NO 2651,FRANCISCO I MADERO,29090,TUXTLA GUTIERREZ CHIS,CHIAPAS,16137092,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2145258,GASOL DEL SUR DEB,GSU 961021BP3,AV HIDALGO SN,HUISACHAL,30500,TONALA CHIS,CHIAPAS,6631388,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4002945,DINAMICA COMBUSTIBLES,DCO 940715NX6,B DELISARIO DOMINGUEZ NO 1616,JARDINES DE TUXTLA,29020,TUXTLA GUTIERREZ CHIS,CHIAPAS,6156889,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4007791,GAS COM,GCO 710315S76,CARR PICHUCALCO TEAPA KM 1,CRISTOBAL COLON,29520,PICHUCALCO CHIS,CHIAPAS,23230450,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
4007796,GAS COM,GCO 710315S76,CARR PANAMERICA 17.5 MAS 850,BERRIOZABAL,29130,BERRIOZABAL CHIS,CHIAPAS,16569065,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
2173409,GASOL DEL SUR,GSU 961021BP3,AV HIDALGO SN,14 DE SEPTIEMBRE,30500,TONALA CHIS,CHIAPAS,66631388,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4022780,Z GAS CHIAPAS,GCI 8804072R8,CARR TAPACHULA KM 78 INT1,ALVARO OBREGON,30820,TAPACHULA CHIS,CHIAPAS,26232001,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
2320695,GAS ROMEO RAMOS ACEIT,RAAR450128K84,AV HIDALGO NO 2000,DEL VALLE,30500,TONALA CHIS,CHIAPAS,66632088,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4003135,DINOGAS 6,DIN 010618PE2,C CENTRAL NTE NO 2008 E,PEDREGAL SAN ANTONIO,29014,TUXTLA GUTIERREZ CHIS,CHIAPAS,11255258,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4007789,GAS COM,GCO 710315S76,CARR CATAZAJA PA KM 25 800,PALENQUE CENTRO,29960,PALENQUE CHIS,CHIAPAS,63480630,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
4007804,GAS COM,GCO 710315S76,C PRIMERA ORIENTE SUR 7 ALTA,BARRIO ALMANECES,30470,VILLAFLORES CHIS,CHIAPAS,56970412,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
2401180,GAS LAS DELICIASTUXTL,IHC 9901189I2,CDA AL C SUMIDERO 1962 MZ65LT1,LOMAS DEL VALLE,29096,TUXTLA GUTIERREZ CHIS,CHIAPAS,16162566,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4017165,Q GAS TAPACHULA,GCI 8804072R8,CARR TAPACHULA KM 78 SN,ALVARO OBREGON,30820,TAPACHULA CHIS,CHIAPAS,26232000,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
3296456,ESTACION TURQUESA,EST 0508307EA,C 11A PTE NO 75 ESQ 14A AV NTE,AVIACION,30799,TAPACHULA CHIS,CHIAPAS,26261515,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3484847,DINOGAS 1,DIN 010618PE2,C CENTRAL NTE NO 2008 L,PEDREGAL SAN ANTONIO,29014,TUXTLA GUTIERREZ CHIS,CHIAPAS,1255258,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4060689,COMBUSTIBLES MB COSTA,CMC 021028JSA,CARR ARRIAGA TONALA SN,ARRIAGA CENTRO,30450,ARRIAGA CHIS,CHIAPAS,66522604,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1140551,COMBUSTIBLES CAHO,CCM 160223QB6,C 7A OTE 521,LOS MANGOS,29140,OCOZOCOAUTLA DE ESPINOSA CHIS,CHIAPAS,86709625,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4003131,DINOGAS 3,DIN 010618PE2,C CENTRAL NTE NO 2008 B,PEDREGAL SAN ANTONIO,29014,TUXTLA GUTIERREZ CHIS,CHIAPAS,11255258,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1155259,GAS SUMICOL PTO MADERO,SCL910222253,PAQ INDUS FOND C PTE SN,PUERTO MADERO CENTRO,30830,TAPACHULA CHIS,CHIAPAS,26204021,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4068583,GASOLINERA LA SELVA LA,PSL 920718513,CARR PALENQUE BENEMERITOSNKM40,11 DE JULIO,29966,PALENQUE CHIS,CHIAPAS,69559265,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
